Профи клуб КАРЕ;г.Херсон ул.Карла Маркса 31<br>пр. Ушакова 13<br>ул Красностуденческая 26;(0552) 22-27-63;
BBC такси;Херсон;(099) 422-11-44<br>(097) 962-06-06<br>(063) 75-666-05           ;
Кафе корейской кухни  Hungry Korean;г. Херсон ул. Белинского 20;;
ПК-СЕРВИС;г. Херсон ул. Владимирова 7; 095 660-68-68<br>097 406-59-16<br>43-60-49.;
TeleTRADE;г.Херсон ул. Ушакова, 34; (0552) 42-36-83      ;
Бионика ;г.Херсон пр. Ушакова, 66;(095) 100-20-37<br>(097) 267-71-94       ;
NETCOM;г. Херсон ул.Карла Маркса, 29;(0552) 42-48-20<br>(050) 494-18-76      ;
Суши-бар Банзай;г.Херсон ул. Суворова, 10   <br>  г. Новая Каховка, ул. Карла Маркса 2-б;(095) 020-90-99<br>(0552) 42-16-18;
Элит Такси;Херсон;411-411<br>(050) 9-411-411<br>(067) 6-411-411<br>(095) 500-45-45      ;
Юр.конс. Крис;г.Херсон переулок Казацкий, 10;(050) 494-82-09 Вячеслав;
Пейнтбольный клуб Корвет;г.Херсон ул. Баку, 16;<br>(050) 396-01-84<br>(050) 396-03-17      ;
Кухни Kolss;г.Херсон 9 Января 29;(0552) 49-26-38;
Сувениры Сезам;г. Херсон ул. Советская, 17;(0552) 26-30-54<br>(067) 997-12-06;
Авто запчастей Бип Бип;г.Херсон ул. Рабочая, 82а;(099) 0-343-623       ;
Сеть магазинов Эльф;г.Херсон пр-т.Димитрова, 23<br>ул. Пугачева, 5а;(0552) 29-08-82<br>(0552) 22-12-69;
Салон красоты Клеопатра;г.Херсон пр. 200-лет Херсона, 15;(0552) 33-47-57<br>(0552) 33-45-54;
Сеть магазинов BRAIN; г. Херсон пр-т. Ушакова 49<br>Николаевское шоссе 5й километр<br>Торгово-развлекательный комплекс Фабрика;(0552) 41-25-19<br>(0552) 39-68-02           ;
Окна Эллегия;г.Херсон ул.Карла Маркса, 29;(095) 746-08-44;
Сеть магазинов \"Сиявуш\";г.Херсон ТЦ Европорт 2-й этаж, <br> ул. Лавренева 4;(099) 709-69-91 <br> (0552) 294-480;
Сеть магазинов Карандаш;г.Херсон ул. Илюши Кулика 137<br>ул. Белинского 8<br>ул. 21 Января 34; (0552) 51-27-29<br> (0552) 26-67-72<br> (0552) 46-10-19<br>(0552) 26-30-06;
Чай и Кофе на развес;г.Херсон пр-т. Ушакова, 49;;
Hi-Tec;г.Херсон Бульвар мирный, 3;(0552 ) 41-25-84 (050) 713-27-26;
Магазин сумок \"Sakvoyage\";г.Херсон Залаэгерсег, 18 ТРЦ \"Фабрика\";;
Экспресс Такси;(0552) 39-15-15<br>(095) 239-15-15<br>(097) 239-15-15<br>(094) 239-15-15;;
3D кинотеатр в ККЗ \"Юбилейный\"; г.Херсон ул. Перекопская 13;тел. кассы 26-47-55;
Сеть магазинов Buon Aquisto;г.Херсон Залаэгерсег 18 ТРЦ Фабрика<br>ул. 40 лет Октября 157а;(0552) 39-79-57;
Кофейня Триесте;г.Херсон ул. Декабристов, 12;(050) 939-10-09<br>(066) 486-16-20;
Арт Подарки;г. Херсон ул. Ушакова 15;424768;
Bom-bey tatto;г.Херсон ул.Суворова, 22;(067) 9999-401;
KAVA клуб активного отдыха ;г.Херсон пр.Ушакова, 69;(093) 00-66-550<br>(095) 40-30-561<br>(096) 27-28-040;
Журнал-каталог Наша Свадьба;г. Херсона пр-т. Ушакова, 70;(050) 888-24-41;
Бюро путешествий ;г.Херсон ул. Мира, 28<br> ул.Привокзальная,1;(099) 70-16-777<br>(063) 800-49-50<br>(050) 640-20-40<br>(098) 033-15-67;
Sib Avto автопрокат;;(099) 560-888-0, (066) 290-23-23;
Пан Телефон;г. Херсон Ушакова, 73;(050) 396-11-11<br>(0552) 39-00-00;
Центр аппаратной косметологии Beauty Style;г.Херсон Суворова, 32;(099) 668-48-13;
Косметика Mary Kay;г.Херсон бульв. Мирный, 2 3эт. 310 каб.;(050) 298-28-98;
Курьерский центр Адресат;г.Херсон ул. Коммунаров 6;264632<br>444546<br>0501822898<br>0675531202;
Комильфо;г.Херсон ул.Гоголя,17;(0552) 42-20-40;
Отопление и утепление ЧП Видюк;г.Херсон ул. Ленина,12;(0552) 46-11-12;
Магазин посуды VINZER;г. Херсон ул. Суворова 27;223393;
Фотограф профессионал Юрий Шинкарефский ;г. Херсон ул. Суворова 3;050 160 81 31;
Фото ателье, магазин Kodak;г. Херсон ул. Суворова 3;;
Магазин оригинальной парфюмерии PERFUMER;г. Херсон ул. Суворова 1а;0995072800;
Окна, двери ЧП Овчар;г.Херсон ул.Ленина,12;(0552) 46-11-33;
Винный бутик Premium Vin;г. Херсон ул. Суворова 27;;
Магазин женской одежды Pronto Moda;г.Херсон ул. Маяковского 4;;
Салон красоты Марафет;г. Херсон  ул. Димитрова, 23;(0552) 294-000;
Тюнинг ателье Литута;г. Херсон ул. Комунальная, 76;(066) 2852407;
